ID,Count
18288,581.2964743
18289,463.9049983
18290,392.6065148
18291,324.3967369
18292,273.0457138
18293,244.4209532
18294,262.8188957
18295,304.8005006
18296,350.9967942
18297,453.5645489
18298,643.783366
18299,713.7182738
18300,721.2799212
18301,637.9158583
18302,682.0874485
18303,673.4721289
18304,656.2828104
18305,671.571387
18306,688.0995779
18307,730.1431635
18308,701.6423643
18309,654.9089045
18310,657.284832
18311,641.7483325
18312,376.7623423
18313,300.6760604
18314,254.4645575
18315,210.2549729
18316,176.9722461
18317,158.4193521
18318,170.3438213
18319,197.5538398
18320,227.4955727
18321,293.9739864
18322,417.2626872
18323,462.5904001
18324,467.4914172
18325,413.4597122
18326,442.0891509
18327,436.5052052
18328,425.3640953
18329,435.2732555
18330,445.9858612
18331,473.236052
18332,454.7635025
18333,424.4736099
18334,426.013547
18335,415.9436976
18336,357.9123641
18337,285.6327916
18338,241.7333187
18339,199.7356051
18340,168.1180624
18341,150.4933972
18342,161.8212676
18343,187.6699285
18344,216.1136322
18345,279.2660324
18346,396.3864168
18347,439.446317
18348,444.102129
18349,392.7737102
18350,419.9707757
18351,414.6662031
18352,404.0824994
18353,413.4958897
18354,423.6725279
18355,449.5593512
18356,432.0110108
18357,403.2365664
18358,404.6994581
18359,395.1334182
18360,639.5809845
18361,510.4190868
18362,431.9717603
18363,356.922833
18364,300.4230271
18365,268.9281645
18366,289.1708027
18367,335.3617524
18368,386.1899824
18369,499.0418376
18370,708.3332125
18371,785.2802424
18372,793.600069
18373,701.8773908
18374,750.4779078
18375,740.9987611
18376,722.0859313
18377,738.9074386
18378,757.0928519
18379,803.3519969
18380,771.9935249
18381,720.5742688
18382,723.188422
18383,706.0941335
18384,635.103104
18385,506.8455039
18386,428.9474085
18387,354.4239191
18388,298.3196838
18389,267.0453253
18390,287.1462392
18391,333.0137935
18392,383.4861613
18393,495.54791
18394,703.373979
18395,779.7822818
18396,788.043859
18397,696.9633563
18398,745.2236078
18399,735.8108272
18400,717.0304113
18401,733.7341466
18402,751.7922388
18403,797.727511
18404,766.5885882
18405,715.5293324
18406,718.1251831
18407,701.1505764
18408,657.6990483
18409,524.8782496
18410,444.2086656
18411,367.0337506
18412,308.9334171
18413,276.5463673
18414,297.3624394
18415,344.8618873
18416,397.1299805
18417,513.1787055
18418,728.398891
18419,807.5256779
18420,816.0811887
18421,721.7601886
18422,771.737462
18423,761.9897899
18424,742.5411971
18425,759.8392243
18426,778.5397944
18427,826.1093694
18428,793.862574
18429,740.9867122
18430,743.6749191
18431,726.0963833
18432,620.7712742
18433,495.4079539
18434,419.2677183
18435,346.4259369
18436,291.587758
18437,261.0191413
18438,280.666455
18439,325.4989554
18440,374.8323563
18441,484.3653031
18442,687.5015386
18443,762.1856004
18444,770.2607456
18445,681.2355789
18446,728.4067825
18447,719.2064121
18448,700.8497978
18449,717.1765941
18450,734.8271848
18451,779.7258749
18452,749.2896376
18453,699.3825924
18454,701.9198648
18455,685.3283096
18456,600.7801204
18457,479.4539673
18458,405.7657317
18459,335.2697278
18460,282.197543
18461,252.6133499
18462,271.6279468
18463,315.0166732
18464,362.7613543
18465,468.7669311
18466,665.361421
18467,737.640377
18468,745.4554724
18469,659.2972486
18470,704.9493632
18471,696.0452791
18472,678.2798164
18473,694.0808289
18474,711.1630047
18475,754.6157892
18476,725.1597124
18477,676.8598605
18478,679.3154233
18479,663.2581781
18480,389.3917238
18481,310.7549675
18482,262.9944174
18483,217.3028913
18484,182.9045003
18485,163.7296982
18486,176.0538853
18487,204.1760059
18488,235.1214101
18489,303.8282346
18490,431.2496733
18491,478.0968081
18492,483.1621113
18493,427.3192195
18494,456.9083404
18495,451.1372162
18496,439.6226472
18497,449.8639706
18498,460.9356716
18499,489.099311
18500,470.0075466
18501,438.7023121
18502,440.2938691
18503,429.8864701
18504,369.9088184
18505,295.2065897
18506,249.8357007
18507,206.4303139
18508,173.7530191
18509,155.5376129
18510,167.2451691
18511,193.9602217
18512,223.3572973
18513,288.6264304
18514,409.6724387
18515,454.1756144
18516,458.9874792
18517,405.938642
18518,434.0472948
18519,428.5649242
18520,417.6264775
18521,427.3553844
18522,437.8731217
18523,464.6276158
18524,446.4910926
18525,416.7521906
18526,418.2641153
18527,408.3774423
18528,661.0200967
18529,527.52862
18530,446.4516953
18531,368.8870859
18532,310.493375
18533,277.942787
18534,298.8639697
18535,346.6032658
18536,399.1352866
18537,515.7699991
18538,732.0769379
18539,811.6032752
18540,820.201987
18541,725.4047134
18542,775.6343469
18543,765.8374539
18544,746.2906555
18545,763.6760291
18546,782.4710276
18547,830.280805
18548,797.8711794
18549,744.7283212
18550,747.4301023
18551,729.7628037
18552,656.3905464
18553,523.8339966
18554,443.324906
18555,366.3035316
18556,308.3187895
18557,275.9961743
18558,296.7708324
18559,344.1757795
18560,396.3398846
18561,512.1577289
18562,726.9497307
18563,805.9190938
18564,814.4575832
18565,720.3242361
18566,770.202079
18567,760.4738
18568,741.0639004
18569,758.327513
18570,776.990878
18571,824.4658127
18572,792.2831727
18573,739.5125082
18574,742.1953669
18575,724.6518039
18576,679.7453469
18577,542.4723493
18578,459.098693
18579,379.3368483
18580,319.2889716
18581,285.8162968
18582,307.3301307
18583,356.4217765
18584,410.4419142
18585,530.3806324
18586,752.8150726
18587,834.5942167
18588,843.4365111
18589,745.9538386
18590,797.6063674
18591,787.53195
18592,767.4314336
18593,785.3092967
18594,804.6367163
18595,853.8008399
18596,820.4731207
18597,765.8248419
18598,768.6031584
18599,750.435384
18600,641.5784628
18601,512.013179
18602,433.3208533
18603,358.0375403
18604,301.3612796
18605,269.7680553
18606,290.0739133
18607,336.4091222
18608,387.3960941
18609,500.6003975
18610,710.5454112
18611,787.7327547
18612,796.078565
18613,704.0694273
18614,752.8217287
18615,743.3129777
18616,724.3410812
18617,741.2151238
18618,759.457332
18619,805.8609491
18620,774.4045413
18621,722.8246976
18622,725.447015
18623,708.2993393
18624,620.9183692
18625,495.5253434
18626,419.3670661
18627,346.5080244
18628,291.6568513
18629,261.0809912
18630,280.7329604
18631,325.5760841
18632,374.9211748
18633,484.480076
18634,687.6644457
18635,762.3662043
18636,770.443263
18637,681.3970013
18638,728.5793823
18639,719.3768319
18640,701.0158679
18641,717.346533
18642,735.001306
18643,779.9106351
18644,749.4671857
18645,699.5483148
18646,702.0861885
18647,685.4907018
18648,402.4435303
18649,321.1709919
18650,271.8095823
18651,224.5865472
18652,189.0351754
18653,169.2176637
18654,181.9549385
18655,211.0196688
18656,243.0023151
18657,314.0120857
18658,445.7044934
18659,494.1218715
18660,499.3569558
18661,441.6422968
18662,472.2231991
18663,466.2586359
18664,454.3581164
18665,464.942713
18666,476.3855203
18667,505.4931612
18668,485.7614704
18669,453.406933
18670,455.0518365
18671,444.2955977
18672,382.3081679
18673,305.1019193
18674,258.2101974
18675,213.3498613
18676,179.577223
18677,160.7512361
18678,172.8512299
18679,200.4617714
18680,230.8442374
18681,298.3011929
18682,423.4046654
18683,469.3995882
18684,474.3727468
18685,419.5457117
18686,448.596567
18687,442.9304273
18688,431.6253237
18689,441.6803437
18690,452.5506357
18691,480.2019408
18692,461.4574811
18693,430.7217306
18694,432.2843351
18695,422.0662607
18696,683.176555
18697,545.2106329
18698,461.4161244
18699,381.251659
18700,320.9006736
18701,287.2590359
18702,308.881467
18703,358.2209168
18704,412.5137366
18705,533.0578796
18706,756.615121
18707,838.8070686
18708,847.6939971
18709,749.719253
18710,801.6325127
18711,791.5072417
18712,771.3052623
18713,789.273369
18714,808.6983492
18715,858.1106427
18716,824.6146924
18717,769.6905608
18718,772.4829017
18719,754.2234203
18720,678.3926863
18721,541.3928553
18722,458.1851087
18723,378.5819862
18724,318.6536019
18725,285.2475361
18726,306.7185585
18727,355.7125142
18728,409.6251545
18729,529.3252004
18730,751.3170067
18731,832.9334143
18732,841.758113
18733,744.4694263
18734,796.0191691
18735,785.9647992
18736,765.9042819
18737,783.746569
18738,803.0355279
18739,852.1018172
18740,818.8404186
18741,764.3008872
18742,767.0736751
18743,748.9420536
18744,702.5295263
18745,560.6553165
18746,474.4870838
18747,392.0517258
18748,329.9911224
18749,295.3964871
18750,317.6314367
18751,368.3685706
18752,424.199393
18753,548.158301
18754,778.0484541
18755,862.5687287
18756,871.7074054
18757,770.9572405
18758,824.3410949
18759,813.9289961
18760,793.1547366
18761,811.6318424
18762,831.6070919
18763,882.419133
18764,847.974312
18765,791.494294
18766,794.3657361
18767,775.5890015
18768,663.0840366
18769,529.175752
18770,447.8456763
18771,370.0388826
18772,311.4628458
18773,278.8106232
18774,299.7971293
18775,347.6854845
18776,400.3815289
18777,517.3804165
18778,734.3627425
18779,814.1373894
18780,822.7629494
18781,727.669685
18782,778.0561532
18783,768.2286709
18784,748.6208404
18785,766.0604973
18786,784.9141805
18787,832.873237
18788,800.3624171
18789,747.053628
18790,749.7638449
18791,732.0413828
18792,641.7308038
18793,512.134755
18794,433.4237441
18795,358.1225553
18796,301.432837
18797,269.832111
18798,290.1427905
18799,336.4890016
18800,387.4880802
18801,500.7192636
18802,710.7141282
18803,787.9197996
18804,796.2675915
18805,704.2366066
18806,753.0004841
18807,743.4894752
18808,724.5130739
18809,741.3911232
18810,759.6376629
18811,806.0522985
18812,774.5884215
18813,722.9963303
18814,725.6192704
18815,708.467523
18816,415.9333172
18817,331.9365476
18818,280.9205582
18819,232.1146211
18820,195.371578
18821,174.8897892
18822,188.0540136
18823,218.0929851
18824,251.14768
18825,324.537677
18826,460.6443748
18827,510.684689
18828,516.0952517
18829,456.4460146
18830,488.0519797
18831,481.887486
18832,469.5880647
18833,480.5274539
18834,492.3538206
18835,522.4371409
18836,502.0440498
18837,468.6049979
18838,470.3050381
18839,459.1882534
18840,395.1227065
18841,315.3285916
18842,266.865112
18843,220.5011081
18844,185.596449
18845,166.1394363
18846,178.6450082
18847,207.1810239
18848,238.5818759
18849,308.2999125
18850,437.5967123
18851,485.1333331
18852,490.2731863
18853,433.6084109
